epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
180;11;3,6328;0,0997;-6,3789;-3,582;;;;;;;;;;;;;;;
181;11,0859;3,7402;0,097;-6,3789;-3,7266;;;;;;;;;;;;;;;
182;10,2969;2,8633;0,0968;-6,4648;-2,9023;;;;;;;;;;;;;;;
183;9,6797;2,3066;0,0909;-6,4648;-2,3438;;;;;;;;;;;;;;;
184;9,8359;2,459;0,096;-6,4141;-2,4043;;;;;;;;;;;;;;;
185;9,6172;2,2598;0,0998;-6,3594;-2,3047;;;;;;;;;;;;;;;
186;9,9531;2,5859;0,0957;-6,4102;-2,5723;;;;;;;;;;;;;;;
187;10,1641;2,8359;0,096;-6,3789;-2,7715;;;;;;;;;;;;;;;
188;9,7656;2,4414;0,0984;-6,3555;-2,4199;;;;;;;;;;;;;;;
189;9,8672;2,4922;0,0991;-6,3867;-2,4824;;;;;;;;;;;;;;;
190;10,2031;2,8828;0,0985;-6,3398;-2,8887;;;;;;;;;;;;;;;
191;9,9531;2,5488;0,1012;-6,3906;-2,5293;;;;;;;;;;;;;;;
192;9,1484;1,9521;0,0909;-6,2852;-1,9668;;;;;;;;;;;;;;;
193;9,1406;1,8252;0,0977;-6,3398;-1,876;;;;;;;;;;;;;;;
194;9,7656;2,5332;0,0995;-6,2422;-2,6191;;;;;;;;;;;;;;;
195;10,0312;2,8242;0,0917;-6,2734;-2,7832;;;;;;;;;;;;;;;
196;9,2266;2,0859;0,0926;-6,2031;-2,1445;;;;;;;;;;;;;;;
197;9,8281;2,6426;0,093;-6,2422;-2,6875;;;;;;;;;;;;;;;
198;9,9062;2,8203;0,093;-6,1523;-2,8398;;;;;;;;;;;;;;;
199;9,2812;2,166;0,086;-6,25;-2,0918;;;;;;;;;;;;;;;
200;8,5781;1,4521;0,0961;-6,1602;-1,4834;;;;;;;;;;;;;;;
201;9,6484;2,5273;0,093;-6,1914;-2,502;;;;;;;;;;;;;;;
202;9,7344;2,5586;0,0899;-6,2734;-2,6582;;;;;;;;;;;;;;;
203;9,2266;2,209;0,0913;-6,1055;-2,0723;;;;;;;;;;;;;;;
204;9,0312;1,9014;0,0949;-6,1836;-1,8486;;;;;;;;;;;;;;;
205;8,7578;1,7012;0,0915;-6,1367;-1,6094;;;;;;;;;;;;;;;
206;8,6562;1,4941;0,0936;-6,2266;-1,499;;;;;;;;;;;;;;;
207;9,2188;2,125;0,0938;-6,1602;-2,1211;;;;;;;;;;;;;;;
